title,description,publishTime,duration_seconds,viewCount,likeCount,commentCount,like_to_view_ratio
"Last to Stop Swinging Wins $1,000,000 (Part 2)",I BET YOU DIDNT EXPECT THAT TO HAPPEN LOL (watch till the end) Get Honey for FREE and start saving money today ...,2019-11-30 21:00:03+00:00,783,58637341,1358572,80284.0,0.023169058774339717
"Last To Fall Wins $1,000,000 (Part 1)",BUY MY MERCH!! - https://shopmrbeast.com/ FOLLOW MY INSTAGRAM!! - https://www.instagram.com/mrbeast SUBSCRIBE OR ...,2019-11-14 21:00:31+00:00,1017,83659525,2002815,52860.0,0.023940071378602736
"Spending $1,000,000 In 24 Hours",watch till the end you wont believe everything he bought.... Get Honey for FREE and save on your holiday gifts ...,2019-12-21 21:00:01+00:00,910,100601425,3030445,121346.0,0.03012328105690352
Spending 24 Hours On Top Of A Mountain,"WE HAD LIKE NO OXYGEN UP HERE, IT WAS CRAZY! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...",2019-06-13 20:00:01+00:00,924,101663010,2313086,107422.0,0.02275248391720843
"I Ate A $70,000 Golden Pizza",I cant believe we actually did this... Please vote and help me win a Kids Choice Award (I'm on page 20) https://kca.nick.tv/vote/ ...,2020-02-29 21:00:22+00:00,776,127179753,2846523,104376.0,0.022381888098178645
Surviving 24 Hours On A Deserted Island,"This was Insane, I Can't Believe We Did This! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...",2019-08-22 20:00:07+00:00,832,107006436,2237697,74133.0,0.020911798239874095
Last To Take Hand Off House Keeps It!,YOU WON'T BELIEVE WHO WON THE NEW HOUSE LOL New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...,2019-01-08 21:05:00+00:00,1050,57359031,1097901,43997.0,0.019140856825144065
"Planting 20,000,000 Trees, My Biggest Project Ever!",HELP US ACHIEVE OUR GOAL OF PLANTING 20000000 TREES! PLEASE DONATE ! - https://teamtrees.org/ #teamtrees ...,2019-10-25 19:01:01+00:00,443,64630566,3613873,165127.0,0.05591584947592754
Surviving 24 Hours Straight In A Rain Forest,This was a lot of fun! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2019-09-21 21:00:00+00:00,789,72343261,1616986,69857.0,0.022351577433038304
"Last To Stop Riding Bike Wins $1,000,000 (Part 4)",YOU WONT BELIEVE WHO WON THIS Get Honey for FREE and save on your holiday gifts ▸ http://joinhoney.com/mrbeast Honey ...,2019-12-14 20:59:57+00:00,705,38421073,1011945,94562.0,0.026338280557651268
"$456,000 Squid Game In Real Life!",MAKE SURE YOU WATCH UNTIL GLASS BRIDGE IT'S INSANE! Download Brawl Stars now and get a free gift from me in the ...,2021-11-24 21:00:01+00:00,1542,178763228,12250732,571946.0,0.06853049218824803
Videos I Could Not Upload...,The last video i couldnt upload took forever to film SUBSCRIBE OR YOU'LL HAVE BAD LUCK New Merch ...,2020-04-30 20:00:08+00:00,812,65825475,2243567,60701.0,0.03408356719036209
I Went Back To Boy Scouts For A Day,WATCH UNTIL THE END TO SEE THE ULTIMATE BETRAYAL New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...,2020-01-25 21:00:01+00:00,818,67041958,1450713,44487.0,0.021638881728364794
"$60,000 Extreme Hide And Seek - Challenge",THERE IS NO WAY THIS HAPPENED AGAIN LOL WATCH UNTIL THE END New Merch - https://shopmrbeast.com/ SUBSCRIBE ...,2020-01-17 21:00:01+00:00,1079,79723782,1826700,48182.0,0.02291286181079568
I Uber’d People And Let Them Keep The Car,Subscribe for a free car! New Merch - https://shopmrbeast.com/ I uber people and give them the car SUBSCRIBE OR I TAKE ...,2020-10-24 20:00:01+00:00,851,62936687,2531831,83065.0,0.04022822173655248
"Last To Leave $800,000 Island Keeps It",I can't believe I gave away a private island. subscribe to help me pay for it Download Lords Mobile to win BIG prizes here: ...,2020-08-15 20:00:02+00:00,1336,119576253,3719348,225860.0,0.03110440331325652
"$50,000 Game Of Extreme Hide And Seek - Challenge","BUY NOW MrBeast, Chandler, Chris - http://youtooz.com ENTER ON INSTAGRAM TOO https://www.instagram.com/mrbeast New ...",2019-11-28 21:00:01+00:00,903,92759192,2158975,50048.0,0.02327505181373292
"Last To Take Hand Off Boat, Keeps It",Last one to remove their hand kept the boat! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG In this ...,2019-10-19 20:06:01+00:00,1008,68554762,1322438,57148.0,0.019290242740540767
"Last To Leave Toilet Wins $1,000,000 (Part 3)",New Merch - https://shopmrbeast.com/ Instagram - https://www.instagram.com/mrbeast SUBSCRIBE OR I TAKE YOUR DOG ...,2019-12-07 21:11:07+00:00,946,49275426,1202564,47812.0,0.024404943754316805
I Sold My House For $1,Download Basketball Arena and attend the $50000 Win Streak Event https://app.adjust.com/6yykn7c_ou2rw0e *LIMITED TIME ...,2021-03-06 21:00:02+00:00,649,73190107,2661083,115383.0,0.036358506758297264
Molten Lava Vs Giant Ice Block Experiment,In this video we played with lava and dumped it on things Buy Your Maverick Merch Here - https://shopmrbeast.com/ Shoutout to ...,2019-04-27 20:00:02+00:00,458,62502385,1282091,42358.0,0.0205126732363893
"If You Can Carry $1,000,000 You Keep It!",Exclusive Merch Here - https://shopmrbeast.com/ YOU HAVE 7 DAYS TO BUY THIS SHIRT AND YOUR NAME WILL BE ADDED ...,2021-07-24 20:00:59+00:00,645,59015812,1997674,67953.0,0.03384980960695754
"Going Through The Same Drive Thru 1,000 Times",I can't believe we did this lol New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2019-10-05 20:00:08+00:00,938,138440792,3224679,124528.0,0.023292838428719768
"Would You Sit In Snakes For $10,000?",Would you sit in a tub of snakes for $10000? New Merch - https://shopmrbeast.com/ Subscribe to Brian Barczyk: ...,2021-04-10 21:00:07+00:00,849,109152270,3125932,133872.0,0.02863826835667275
"Last To Take Hand Off Lamborghini, Keeps It",Subscribe if you want to compete! Watch My Documentary Now On Curiosity: http://curiositystream.com/BEAST New Merch ...,2021-10-23 20:00:01+00:00,943,52868114,2641598,116591.0,0.04996580736736703
I Ordered Pizza And Tipped The House,I Was In Youtube Rewind 2019 New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG Check me out in ...,2019-12-05 21:00:02+00:00,782,86437502,3137075,102806.0,0.036292985421998894
"I Searched 100 Dumpsters, Here&#39;s What I Found",YOU WON'T BELIEVE WHAT WE FOUND! LOL New Merch - http://www.shopmrbeast.com/MBYTV1 SUBSCRIBE OR I TAKE ...,2019-10-12 20:10:01+00:00,1028,71845651,1324689,49545.0,0.018437984506536102
Spending 24 Hours In A City With No Laws,"We spent 24 hours straight in slab city, aka the city with no laws. New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...",2019-05-07 21:00:01+00:00,869,86936731,1686936,62530.0,0.01940418026530121
"Going Around A Ferris Wheel 1,000 Times Straight",Thanks to Epic Games for sponsoring this video! Download Battle Breakers - http://bit.ly/codeMrBeast FOLLOW 4 COOKIE ...,2019-11-16 21:00:47+00:00,776,54521829,1436159,46098.0,0.0263409908717479
"Ordering Water Then Tipping $30,000",You won't believe how they reacted to the $30000 we tipped! subscribe for a car New Merch - https://shopmrbeast.com/ ...,2018-10-23 20:11:02+00:00,723,39714916,1067119,47639.0,0.02686947644557526
World&#39;s Largest Game Of Dodgeball,THIS GAME OF DODGEBALL WAS INSANE!!!!! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2019-07-12 20:05:00+00:00,677,42172274,1034966,54769.0,0.024541384702186086
Destroying My Friend&#39;s Car And Surprising Him With A New One,I DROPPED A METEOR ON MY FRIEND'S CAR New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2019-08-10 20:00:00+00:00,893,72016728,1962449,60791.0,0.027249905049837864
I Gave A Homeless Man A Home,WE GAVE A HOMELESS PERSON A HOUSE idk y caps Get Honey and start saving money today ...,2019-02-28 22:06:00+00:00,840,63719508,1891854,114574.0,0.02969034224181392
I Can&#39;t Believe I Found This Stuff On Amazon..,It should be illegal to sell this stuff. Get your chair here - https://www.gtomegaracing.com/ SUBSCRIBE FOR A FREE CAR BUY ...,2017-12-22 23:19:10+00:00,501,26928544,1101599,25163.0,0.04090822734418913
I Went Back To 1st Grade For A Day,me and the squad went back to first grade for fun LAST DAY TO BUY MERCH - https://shopmrbeast.com/ After today you can no ...,2019-01-31 22:05:00+00:00,1066,119352796,2306311,134931.0,0.019323476929690026
Why I Haven’t Been Uploading,This took way too long... Buy Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2020-09-17 20:00:05+00:00,382,32929921,2155684,98498.0,0.06546277472089897
I Broke Into A House,His reaction was hilarious Download monster legends: https://monsterlegends.onelink.me/1933036881/MrBeast Thanks Monster ...,2020-06-25 20:00:00+00:00,897,74412826,2290401,182264.0,0.030779653496831313
I Bought Everything In A Store - Challenge,I WENT INTO A STORE AND BOUGHT LITERALLY 15000 ITEMS! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...,2019-05-18 20:05:02+00:00,1016,100371975,3393035,181956.0,0.0338046053193633
I Opened A FREE BANK,Download Angry Birds 2 Here https://rov.io/PU9tvo Thanks To Angry Birds For Sponsoring This Video New Merch ...,2019-11-23 21:00:17+00:00,703,66772832,1895447,90447.0,0.0283865000663743
"Hit The Target, Win $300,000","If they miss the shot, the prize goes up by $10000 Get Honey for FREE today ▸ http://joinhoney.com/mrbeast Honey finds coupons ...",2021-06-12 20:00:01+00:00,904,76492851,2378693,84362.0,0.031096932182590502
"Youtube Rewind 2020, Thank God It&#39;s Over",This is what Youtube Rewind would look like if it was made by creators lol SUBSCRIBE TO THESE SMALL CHANNELS NOW ...,2021-01-01 21:00:03+00:00,391,57131190,4707358,297513.0,0.08239558811920424
Surprising TFue With A Fortnite Battle Bus In Real Life,YOU WON'T BELIEVE HOW TFUE REACTED TO THE BATTLE BUS New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I ...,2018-12-07 22:11:00+00:00,865,89583695,1695042,64576.0,0.018921322680427503
Anything You Can Fit In The Triangle I’ll Pay For,Sorry for the long time no uploads! I had 4 different videos fall apart :/ New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I ...,2021-06-01 20:00:02+00:00,968,64846876,2183523,87041.0,0.03367198444532625
"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",Subscribe right now and you might be picked to be in my next video! (its epic) New Merch - https://shopmrbeast.com/ SUBSCRIBE ...,2020-12-15 21:00:11+00:00,858,91681798,4286817,170811.0,0.04675755813602172
I Spent 24 Hours Straight In Insane Asylum,"THIS VIDEO WAS CRAZY, LIKE FOR MORE MINECRAFT New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...",2019-02-10 21:05:00+00:00,978,91428157,1923305,134616.0,0.02103624379084881
I Gave My Credit Card To Random People,Watch until the end to see how much they spend! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2020-02-01 21:00:01+00:00,1008,101244292,2815381,94482.0,0.027807799772060236
Things That SHOULDN&#39;T Be Sold On Amazon,I bought a bunch of stuff that probably shouldn't be sold on amazon. New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I ...,2018-09-21 22:06:01+00:00,846,86162309,1367280,49576.0,0.015868655516183997
